
Image Name                     PID Session Name        Session#    Mem Usage
svchost.exe                   9064 Services                   0      6,388 K
svchost.exe                   9108 Services                   0      9,788 K
svchost.exe                   9176 Console                    1     12,140 K
SecurityHealthService.exe     1056 Services                   0     10,884 K
chrome.exe                    8580 Console                    1   2,52,328 K
svchost.exe                   6116 Services                   0     10,252 K
chrome.exe                    2612 Console                    1      8,512 K
chrome.exe                    8096 Console                    1   2,40,728 K
chrome.exe                    1564 Console                    1     66,888 K
chrome.exe                    7936 Console                    1     21,416 K
TextInputHost.exe             5720 Console                    1     44,544 K
chrome.exe                    3020 Console                    1     22,900 K
chrome.exe                    6136 Console                    1     24,412 K
SDXHelper.exe                 1108 Console                    1     18,412 K
taskhostw.exe                 3868 Console                    1     20,220 K
dllhost.exe                   9056 Console                    1     14,532 K
SystemSettings.exe             612 Console                    1      1,272 K
ApplicationFrameHost.exe      8160 Console                    1     25,736 K
UserOOBEBroker.exe             400 Console                    1      8,212 K
chrome.exe                    8832 Console                    1   2,92,944 K
dllhost.exe                   8368 Console                    1     12,904 K
Code.exe                      5948 Console                    1   1,21,340 K
Code.exe                      3968 Console                    1     28,048 K
Code.exe                      9468 Console                    1     78,680 K
Code.exe                      1008 Console                    1     44,764 K
Code.exe                     10396 Console                    1   2,58,564 K
Code.exe                     10600 Console                    1   1,00,388 K
Code.exe                      8692 Console                    1     69,576 K
Code.exe                     10120 Console                    1   1,06,908 K
Code.exe                     10724 Console                    1     89,720 K
Code.exe                     10636 Console                    1   1,04,244 K
Code.exe                      9072 Console                    1   1,06,524 K
Code.exe                     10860 Console                    1   1,00,512 K
svchost.exe                  11480 Services                   0     10,296 K
operfmon.exe                  1320 Services                   0     16,812 K
chrome.exe                    7908 Console                    1     82,580 K
ShellExperienceHost.exe      10140 Console                    1     73,568 K
RuntimeBroker.exe             7436 Console                    1     21,160 K
chrome.exe                    7124 Console                    1   2,36,216 K
SearchProtocolHost.exe         500 Console                    1      8,164 K
chrome.exe                    2824 Console                    1     74,164 K
chrome.exe                    7484 Console                    1     65,740 K
chrome.exe                   10376 Console                    1     61,872 K
smartscreen.exe              10876 Console                    1     25,088 K
svchost.exe                   9424 Services                   0      7,920 K
svchost.exe                  11784 Services                   0     12,944 K
svchost.exe                  10668 Services                   0      8,192 K
notepad.exe                  10904 Console                    1     42,180 K
SearchFilterHost.exe         10076 Services                   0      7,920 K
chrome.exe                   11996 Console                    1     32,988 K
WmiPrvSE.exe                  7564 Services                   0     10,536 K
audiodg.exe                  10224 Services                   0     12,700 K
XtracTorq.exe                 9136 Console                    1   3,39,056 K
Fact-NetworkArtifacts.exe     9572 Console                    1     19,792 K
conhost.exe                  11024 Console                    1     11,704 K
FIREC.exe                    11012 Console                    1     24,060 K
conhost.exe                  10372 Console                    1     11,720 K
cmd.exe                       7904 Console                    1      5,200 K
cmd.exe                      11736 Console                    1      5,196 K
cmd.exe                       9400 Console                    1      5,208 K
conhost.exe                  12260 Console                    1     11,832 K
cmd.exe                       6732 Console                    1      5,072 K
conhost.exe                   7632 Console                    1     11,868 K
cmd.exe                      12188 Console                    1      5,188 K
conhost.exe                   3240 Console                    1     11,860 K
cmd.exe                       9576 Console                    1      5,088 K
conhost.exe                   1836 Console                    1     11,900 K
cmd.exe                       5824 Console                    1      5,100 K
conhost.exe                   7432 Console                    1     11,884 K
conhost.exe                   1144 Console                    1     11,924 K
cmd.exe                      11380 Console                    1      5,096 K
conhost.exe                   3424 Console                    1     11,884 K
net.exe                       5956 Console                    1      4,524 K
net.exe                       7620 Console                    1      4,524 K
net.exe                       8936 Console                    1      4,500 K
cmd.exe                       4620 Console                    1      5,188 K
conhost.exe                   5528 Console                    1     11,892 K
cmd.exe                      12096 Console                    1      5,200 K
conhost.exe                   5344 Console                    1     11,872 K
ipconfig.exe                  1856 Console                    1      3,928 K
conhost.exe                  10924 Console                    1     11,836 K
wevtutil.exe                 11716 Console                    1      1,552 K
net1.exe                      6712 Console                    1      4,492 K
net1.exe                     10544 Console                    1      4,608 K
SearchProtocolHost.exe        8028 Services                   0     12,836 K
WMIC.exe                     11316 Console                    1     11,876 K
WMIC.exe                     11004 Console                    1     11,920 K
NETSTAT.EXE                   2696 Console                    1      3,652 K
tasklist.exe                 12060 Console                    1     10,276 K
net1.exe                     10728 Console                    1      4,672 K
systeminfo.exe                3340 Console                    1      6,412 K


